Sentence,Actual language,Predicted language
He oído la versión francesa de esta canción.,spa,spa
Sentence,Actual language,Predicted language
Sami knows Layla is angry with him.,eng,eng
Sentence,Actual language,Predicted language
Dinner is on the table.,eng,spa
Sentence,Actual language,Predicted language
Tom called Mary to tell her that he wanted her to help John.,eng,eng
Sentence,Actual language,Predicted language
Tom perdió las llaves de su auto.,spa,spa
Sentence,Actual language,Predicted language
Nunca estás en casa.,spa,spa
Sentence,Actual language,Predicted language
Soy tuyo.,spa,eng
Sentence,Actual language,Predicted language
You have to stop helping Mary.,eng,spa
Sentence,Actual language,Predicted language
"De hecho, tengo que contarte algo.",spa,eng
Sentence,Actual language,Predicted language
I'll give you what for.,eng,eng
Sentence,Actual language,Predicted language
I have learned to work with Tom.,eng,eng
Sentence,Actual language,Predicted language
Tom has just gotten back from Australia.,eng,spa
Sentence,Actual language,Predicted language
¿Sientes que te queda bien?,spa,spa
Sentence,Actual language,Predicted language
Hoy Tom está muy ocupado.,spa,spa
Sentence,Actual language,Predicted language
"En este cajero automático además de sacar dinero, también se puede ingresar.",spa,spa
Sentence,Actual language,Predicted language
Tom and Mary said there wasn't anything they could do about that.,eng,eng
Sentence,Actual language,Predicted language
Pensé que las cosas iban a mejorar.,spa,eng
Sentence,Actual language,Predicted language
Tenéis muchos amigos.,spa,spa
Sentence,Actual language,Predicted language
Tom is going to go swimming this afternoon.,eng,eng
Sentence,Actual language,Predicted language
This is my favorite meal.,eng,spa
Sentence,Actual language,Predicted language
Sami told Layla everything about the affair.,eng,spa
Sentence,Actual language,Predicted language
I have high hopes for you.,eng,spa
Sentence,Actual language,Predicted language
Ella estaba en la escena del crimen.,spa,spa
Sentence,Actual language,Predicted language
Tom descubrió dónde estaba Mary.,spa,spa
Sentence,Actual language,Predicted language
Do you mind if I use your bike?,eng,spa
Sentence,Actual language,Predicted language
¿La torre es tan importante en el juego de ajedrez?,spa,eng
Sentence,Actual language,Predicted language
No es tan estúpido como para no poder discernir lo correcto de lo incorrecto,spa,eng
Sentence,Actual language,Predicted language
Todos están felices.,spa,spa
Sentence,Actual language,Predicted language
No está fácil.,spa,spa
Sentence,Actual language,Predicted language
He broke his leg skiing.,eng,spa
Sentence,Actual language,Predicted language
Children filled the room.,eng,eng
Sentence,Actual language,Predicted language
Esperanto nos permite abrazar el mundo.,spa,eng
Sentence,Actual language,Predicted language
"Como hasta ahora nunca había estado en el extranjero, todo se me hacía extraño.",spa,eng
Sentence,Actual language,Predicted language
Suiza es un país bello.,spa,eng
Sentence,Actual language,Predicted language
Tengo la costumbre de quedarme en casa los domingos.,spa,spa
Sentence,Actual language,Predicted language
Lo mejor es ir regularmente al dentista.,spa,spa
Sentence,Actual language,Predicted language
No entiendo por qué Tom dejaría su paraguas en el auto.,spa,spa
Sentence,Actual language,Predicted language
Sami paid Layla to do this.,eng,spa
Sentence,Actual language,Predicted language
No se puede oír sonido algún en la sala de conciertos.,spa,eng
Sentence,Actual language,Predicted language
Dame algo para escribir.,spa,spa
Sentence,Actual language,Predicted language
Estoy tocando en el parque.,spa,eng
Sentence,Actual language,Predicted language
"Finalmente, nos dirigimos a nuestros lectores con una petición aún más importante.",spa,eng
Sentence,Actual language,Predicted language
It's not going anywhere.,eng,eng
Sentence,Actual language,Predicted language
This place is hideous.,eng,spa
Sentence,Actual language,Predicted language
Él trabaja como traductor.,spa,eng
Sentence,Actual language,Predicted language
Estoy viendo la corona.,spa,spa
Sentence,Actual language,Predicted language
Yo ya te dije todo lo que sabía.,spa,spa
Sentence,Actual language,Predicted language
Tom and Mary are interesting people.,eng,eng
Sentence,Actual language,Predicted language
"¿No tienes tarea para el hogar, jovencito?",spa,eng
Sentence,Actual language,Predicted language
He only does what he has to do.,eng,spa
Sentence,Actual language,Predicted language
Hablo un poco de francés.,spa,spa
Sentence,Actual language,Predicted language
He vivido aquí desde que era un muchacho.,spa,eng
Sentence,Actual language,Predicted language
Me pregunto cuántos caballos murieron durante la guerra de independencia.,spa,spa
Sentence,Actual language,Predicted language
Hoy vivimos de media treinta y cuatro años más que nuestros bisabuelos.,spa,spa
Sentence,Actual language,Predicted language
I didn't know you worked here.,eng,eng
Sentence,Actual language,Predicted language
¡Sois unos cobardes!,spa,spa
Sentence,Actual language,Predicted language
Mary told me that she was diabetic.,eng,spa
Sentence,Actual language,Predicted language
¿Cómo terminará?,spa,eng
Sentence,Actual language,Predicted language
¡Amo mi lenguaje!,spa,spa
Sentence,Actual language,Predicted language
Juego a un juego de navegador.,spa,eng
Sentence,Actual language,Predicted language
"He was staying in Paris in 1939, when the Second World War broke out.",eng,eng
Sentence,Actual language,Predicted language
Me acuerdo de una historia que me contó mi abuela.,spa,spa
Sentence,Actual language,Predicted language
"Nos fuimos encariñando poco a poco, tirándonos flores por aquí y por allá.",spa,spa
Sentence,Actual language,Predicted language
Me duele la muela.,spa,spa
Sentence,Actual language,Predicted language
Mary said she's not making a lot of money.,eng,eng
Sentence,Actual language,Predicted language
Fue tonto de tu parte confiar en ellos.,spa,spa
Sentence,Actual language,Predicted language
He's too old.,eng,eng
Sentence,Actual language,Predicted language
Jane's farewell speech made us very sad.,eng,spa
Sentence,Actual language,Predicted language
¿Qué comiste de desayuno?,spa,eng
Sentence,Actual language,Predicted language
Ya has terminado.,spa,spa
Sentence,Actual language,Predicted language
They told me they'd try again.,eng,spa
Sentence,Actual language,Predicted language
I've been told not do that again.,eng,spa
Sentence,Actual language,Predicted language
I don't usually get to my office until about nine-thirty.,eng,eng
Sentence,Actual language,Predicted language
"Retroceda unos pasos, por favor.",spa,eng
Sentence,Actual language,Predicted language
Derogaron la legislación laboral en contubernio con las autoridades corruptas.,spa,spa
Sentence,Actual language,Predicted language
A Tom se le hizo un poco tarde.,spa,eng
Sentence,Actual language,Predicted language
¿Quieres descansar?,spa,spa
Sentence,Actual language,Predicted language
Tom eats the same food every day.,eng,spa
Sentence,Actual language,Predicted language
Do your homework now.,eng,eng
Sentence,Actual language,Predicted language
Tom's technique is impressive.,eng,spa
Sentence,Actual language,Predicted language
"De todos modos, quiero verlo.",spa,eng
Sentence,Actual language,Predicted language
I thought that Tom was scared.,eng,spa
Sentence,Actual language,Predicted language
Tom hizo el papel de un marinero.,spa,eng
Sentence,Actual language,Predicted language
Quiero entrar en un club deportivo.,spa,eng
Sentence,Actual language,Predicted language
Juró que nunca más iba a tomar.,spa,spa
Sentence,Actual language,Predicted language
Al final decidimos pedirle consejo al profesor.,spa,eng
Sentence,Actual language,Predicted language
I didn't know Tom wouldn't be there.,eng,eng
Sentence,Actual language,Predicted language
Mary said she's only been to Boston three times.,eng,spa
Sentence,Actual language,Predicted language
I usually eat lunch with Tom two or three times a week.,eng,spa
Sentence,Actual language,Predicted language
Tom y Mary se necesitaban el uno al otro.,spa,eng
Sentence,Actual language,Predicted language
Sami was growing closer and closer to Layla.,eng,spa
Sentence,Actual language,Predicted language
Este libro es acerca de las estrellas.,spa,spa
Sentence,Actual language,Predicted language
El viento está soplando.,spa,eng
Sentence,Actual language,Predicted language
"Tom is bossy, but Mary isn't.",eng,spa
Sentence,Actual language,Predicted language
"Soy sordo, y no puedo escucharte.",spa,eng
Sentence,Actual language,Predicted language
El aire de las grandes ciudades está contaminado.,spa,spa
Sentence,Actual language,Predicted language
Se ha ido de Japón para siempre.,spa,eng
Sentence,Actual language,Predicted language
El señor Jones sabe de finanzas más que cualquiera en esta compañía.,spa,spa
Sentence,Actual language,Predicted language
Siempre llega a tiempo a una cita.,spa,spa
Sentence,Actual language,Predicted language
"You really should keep your promises, Tom.",eng,spa
Sentence,Actual language,Predicted language
Australia es aproximadamente veinte veces mayor que Japón.,spa,spa
Sentence,Actual language,Predicted language
I knew that Tom would be a difficult person to deal with.,eng,eng
Sentence,Actual language,Predicted language
We will not surrender.,eng,eng
Sentence,Actual language,Predicted language
Tom no ha visto el vídeo todavía.,spa,spa
Sentence,Actual language,Predicted language
Tom sat next to Mary on the tailgate.,eng,eng
Sentence,Actual language,Predicted language
It's not possible to legislate against stupidity.,eng,eng
Sentence,Actual language,Predicted language
"No se preocupen, estamos bien.",spa,spa
Sentence,Actual language,Predicted language
No entienden por qué Mary se enfadó con ustedes.,spa,spa
Sentence,Actual language,Predicted language
Tengo un poco de diarrea.,spa,spa
Sentence,Actual language,Predicted language
I think Tom could be just the person we need.,eng,spa
Sentence,Actual language,Predicted language
Espero con ganas a verte la próxima semana.,spa,spa
Sentence,Actual language,Predicted language
I don't think I could afford to buy a car like Tom's.,eng,spa
Sentence,Actual language,Predicted language
I tried to talk to her.,eng,eng
Sentence,Actual language,Predicted language
Rebeca se levanta muy temprano todos los días.,spa,spa
Sentence,Actual language,Predicted language
Dionisio es hermano de Apolo.,spa,eng
Sentence,Actual language,Predicted language
Mi pasatiempo es coleccionar monedas antiguas.,spa,spa
Sentence,Actual language,Predicted language
"You know I like you, don't you?",eng,eng
Sentence,Actual language,Predicted language
No creo que llueva esta tarde.,spa,eng
Sentence,Actual language,Predicted language
Do you want me to give you a massage?,eng,spa
Sentence,Actual language,Predicted language
Tom and Mary told me that they were confused.,eng,spa
Sentence,Actual language,Predicted language
"You're pleased, aren't you?",eng,eng
Sentence,Actual language,Predicted language
Man should smell like a man.,eng,spa
Sentence,Actual language,Predicted language
I didn't think Tom would understand.,eng,eng
Sentence,Actual language,Predicted language
Sami was a damaged child.,eng,eng
Sentence,Actual language,Predicted language
Bern is the capital of Switzerland.,eng,eng
Sentence,Actual language,Predicted language
She has a crush on Justin Timberlake.,eng,spa
Sentence,Actual language,Predicted language
"You're still a resident of Boston, aren't you?",eng,eng
Sentence,Actual language,Predicted language
I went as far as Kyoto by train.,eng,spa
Sentence,Actual language,Predicted language
¿Dónde estás trabajando?,spa,eng
Sentence,Actual language,Predicted language
Usted hacía como si no fuera nada.,spa,spa
Sentence,Actual language,Predicted language
They look like they're sleepy.,eng,eng
Sentence,Actual language,Predicted language
¿Votos a favor? ¿Votos en contra?,spa,eng
Sentence,Actual language,Predicted language
You need a specialized tool in order to fix this.,eng,spa
Sentence,Actual language,Predicted language
Los muebles del salón eran de estilo moderno.,spa,eng
Sentence,Actual language,Predicted language
¿Eres miembro de algún club?,spa,spa
Sentence,Actual language,Predicted language
I've explained the problem to Tom.,eng,eng
Sentence,Actual language,Predicted language
Everyone knows that Tom doesn't like Mary.,eng,spa
Sentence,Actual language,Predicted language
Viajar es un lujo que no me puede permitir.,spa,eng
Sentence,Actual language,Predicted language
A mí también me agrada el té perfumado.,spa,spa
Sentence,Actual language,Predicted language
Nos comemos a la gallina que nos pondría huevos de oro.,spa,eng
Sentence,Actual language,Predicted language
Ella leyó su carta una y otra vez.,spa,eng
Sentence,Actual language,Predicted language
La clema permite múltiples conexiones.,spa,spa
Sentence,Actual language,Predicted language
I don't think Tom is back.,eng,spa
Sentence,Actual language,Predicted language
He advised me to see a lawyer. This I did at once.,eng,spa
Sentence,Actual language,Predicted language
"Tom is doing well so far, isn't he?",eng,eng
Sentence,Actual language,Predicted language
Si las cosas salen mal no es por mi culpa.,spa,spa
Sentence,Actual language,Predicted language
Tu hija se mete droga en el cuerpo.,spa,eng
Sentence,Actual language,Predicted language
Tom es un refugiado.,spa,spa
Sentence,Actual language,Predicted language
We will deal with it when it happens.,eng,spa
Sentence,Actual language,Predicted language
Don't you dare talk to me like that.,eng,eng
Sentence,Actual language,Predicted language
I hope that I can rely on you.,eng,spa
Sentence,Actual language,Predicted language
You are responsible.,eng,spa
Sentence,Actual language,Predicted language
He should stay where he is.,eng,spa
Sentence,Actual language,Predicted language
Eso es todo.,spa,eng
Sentence,Actual language,Predicted language
Él no habló en absoluto.,spa,eng
Sentence,Actual language,Predicted language
Where did she buy it?,eng,eng
Sentence,Actual language,Predicted language
"All of us, except him, went.",eng,eng
Sentence,Actual language,Predicted language
Deberías volver a presentarte al examen.,spa,spa
Sentence,Actual language,Predicted language
Sami doesn't know who those people are.,eng,eng
Sentence,Actual language,Predicted language
Do you remember what you were going to say before you were interrupted?,eng,eng
Sentence,Actual language,Predicted language
Tom eligió pasar las Navidades con Mary en vez de con su familia.,spa,spa
Sentence,Actual language,Predicted language
Tom and I want to get married.,eng,eng
Sentence,Actual language,Predicted language
Entrega tu tarea el lunes.,spa,spa
Sentence,Actual language,Predicted language
Tom said that he didn't want a sandwich.,eng,spa
Sentence,Actual language,Predicted language
Tom thought Mary didn't drive a car.,eng,spa
Sentence,Actual language,Predicted language
We're contented.,eng,eng
Sentence,Actual language,Predicted language
Él tiene algo que ver con eso.,spa,spa
Sentence,Actual language,Predicted language
You have a good sense of humor.,eng,eng
Sentence,Actual language,Predicted language
Get your paws off of me.,eng,spa
Sentence,Actual language,Predicted language
I don't see any resemblance.,eng,spa
Sentence,Actual language,Predicted language
"The job is interesting, but not always easy.",eng,spa
Sentence,Actual language,Predicted language
Tom hizo una copia de seguridad.,spa,spa
Sentence,Actual language,Predicted language
"Intenté hacer mis deberes, pero no sabía cómo hacerlos, así que me rendí.",spa,eng
Sentence,Actual language,Predicted language
The grizzly bear headed to the river to fish.,eng,spa
Sentence,Actual language,Predicted language
Do you support or oppose this idea?,eng,spa
Sentence,Actual language,Predicted language
"Yet beautiful and bright he stood, As born to rule the storm; A creature of heroic blood, A proud though childlike form.",eng,eng
Sentence,Actual language,Predicted language
cuando me desperte todavia estaba oscuro fuera,spa,eng
Sentence,Actual language,Predicted language
¿Qué harás si llueve?,spa,eng
Sentence,Actual language,Predicted language
¿Aquel es tu perro?,spa,eng
Sentence,Actual language,Predicted language
"We don't see this eye to eye, but it's not me who is wrong.",eng,eng
Sentence,Actual language,Predicted language
Ella le echó mucho de menos.,spa,spa
Sentence,Actual language,Predicted language
Tom said that Mary was sure that John would do that.,eng,eng
Sentence,Actual language,Predicted language
Ese vestido me gusta mucho.,spa,eng
Sentence,Actual language,Predicted language
Un mentiroso desvergonzado miente sonriendo.,spa,eng
Sentence,Actual language,Predicted language
Ella echó una ojeada al registro para ver si su nombre figuraba en él.,spa,spa
Sentence,Actual language,Predicted language
I can't go tomorrow.,eng,eng
Sentence,Actual language,Predicted language
La actriz está estudiando su papel.,spa,eng
Sentence,Actual language,Predicted language
Tom made it clear that he didn't plan to go to Boston.,eng,eng
Sentence,Actual language,Predicted language
I'll phone you.,eng,eng
Sentence,Actual language,Predicted language
Primero tengo que llamar a Jim.,spa,spa
Sentence,Actual language,Predicted language
Live not for time but for eternity.,eng,eng
Sentence,Actual language,Predicted language
Tom's left eye started twitching.,eng,eng
Sentence,Actual language,Predicted language
I'm sure that I'll win that tennis match.,eng,eng
Sentence,Actual language,Predicted language
Quijote quizá venga de Quijada.,spa,spa
Sentence,Actual language,Predicted language
Tom and I've known each other quite a few years.,eng,spa
Sentence,Actual language,Predicted language
Ese borracho está molestando a las dos chicas.,spa,spa
Sentence,Actual language,Predicted language
We won't be leaving town before spring.,eng,eng
Sentence,Actual language,Predicted language
Terrace farming is widely practiced in the mountainous regions of China.,eng,spa
Sentence,Actual language,Predicted language
I used to want more than this.,eng,spa
Sentence,Actual language,Predicted language
Mi sueño es ir a Japón.,spa,spa
Sentence,Actual language,Predicted language
Le han dicho que ya no tiene saldo.,spa,spa
Sentence,Actual language,Predicted language
Tom is trying to suppress a smile.,eng,spa
Sentence,Actual language,Predicted language
Ella no tiene ordenador.,spa,eng
Sentence,Actual language,Predicted language
They swim very quickly.,eng,eng
Sentence,Actual language,Predicted language
Ellos te engañaron.,spa,spa
Sentence,Actual language,Predicted language
I wonder whether or not Tom thinks we have to do that.,eng,eng
Sentence,Actual language,Predicted language
Es la primera vez que repito un año.,spa,spa
Sentence,Actual language,Predicted language
What do we do now?,eng,eng
Sentence,Actual language,Predicted language
"¡Desde hoy solo comida saludable, no más comida chatarra para mí!",spa,spa
Sentence,Actual language,Predicted language
Sami has been on the run for six years.,eng,spa
Sentence,Actual language,Predicted language
Make your way to the dining table! Dinner is served.,eng,eng
Sentence,Actual language,Predicted language
Deja que Tom lo cargue.,spa,spa
Sentence,Actual language,Predicted language
"Yo quería cambiarme de sitio, pero todos los demás asientos estaban ocupados.",spa,spa
Sentence,Actual language,Predicted language
This girl is much stronger than him.,eng,spa
Sentence,Actual language,Predicted language
I'm traveling to Spain.,eng,spa
Sentence,Actual language,Predicted language
Perdónanos nuestros pecados.,spa,spa
Sentence,Actual language,Predicted language
She studied Chinese in order to translate her books into this language.,eng,spa
Sentence,Actual language,Predicted language
"She looks bad-tempered, but she is kind at heart.",eng,eng
Sentence,Actual language,Predicted language
Mary doesn't share her food.,eng,eng
Sentence,Actual language,Predicted language
